parl_id,Party,State,Office,House,Cabinet,Level,Start,Finish,Ministry_ID,Ministry_Name
"""259775""",Protectionist,QLD,Minister for Defence,Never elected,Pre-56,Inner,1901-01-01,1901-01-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""259776""",Protectionist,TAS,Minister (without portfolio),Never elected,Pre-56,Inner,1901-01-01,1901-04-23,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KFJ""",Protectionist,WA,Postmaster-General,HR,Pre-56,Inner,1901-01-01,1901-01-17,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KFJ""",Protectionist,WA,Minister for Home Affairs,HR,Pre-56,Inner,1903-08-11,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KFJ""",Protectionist,WA,Minister for Defence,HR,Pre-56,Inner,1901-01-17,1903-08-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KIN""",Protectionist,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1903-08-11,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KIN""",Protectionist,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1901-01-01,1903-08-11,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""009MD""",Protectionist,VIC,Attorney-General,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JZT""",Free Trade,TAS,Postmaster-General,HR,Pre-56,Inner,1903-08-10,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JZT""",Free Trade,TAS,Minister (without portfolio),HR,Pre-56,Inner,1901-04-26,1903-08-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KEW""",Protectionist,SA,Minister for Trade and Customs,HR,Pre-56,Inner,1901-01-01,1903-07-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JXO""",Protectionist,QLD,Minister for Defence,Senate,Pre-56,Inner,1903-08-10,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JXO""",Protectionist,QLD,Postmaster-General,Senate,Pre-56,Inner,1901-02-05,1903-08-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KWT""",Protectionist,VIC,Treasurer,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""009LR""",Protectionist,NSW,Minister for External Affairs,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""009LR""",Protectionist,NSW,Prime Minister,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JYD""",Protectionist,NSW,Vice-President of the Executive Council,Senate,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JX7""",Protectionist,NSW,Minister for Defence,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""KFJ""",Protectionist,WA,Minister for Home Affairs,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""KIN""",Protectionist,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""009MD""",Protectionist,VIC,Minister for External Affairs,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""009MD""",Protectionist,VIC,Prime Minister,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""JZT""",Free Trade,TAS,Postmaster-General,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""JXO""",Protectionist,QLD,Attorney-General,Senate,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""K0X""",Protectionist,SA,Vice-President of the Executive Council,Senate,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""KWT""",Protectionist,VIC,Treasurer,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""DQC""",ALP,NSW,Minister for External Affairs,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""KLB""",ALP,WA,Postmaster-General,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""F4N""",ALP,QLD,Minister for Trade and Customs,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""KTF""",ALP,SA,Vice-President of the Executive Council,Senate,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""JOC""",ALP,SA,Minister for Home Affairs,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""F4R""",ALP,NSW,Prime Minister,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""F4R""",ALP,NSW,Treasurer,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""JTV""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""KHC""",Protectionist,VIC,Attorney-General,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""K7V""",Free Trade,SA,Attorney-General,Senate,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KW6""",Free Trade,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""F4P""",Free Trade,NSW,Minister for External Affairs,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""F4P""",Free Trade,NSW,Prime Minister,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""JXO""",Protectionist,QLD,Vice-President of the Executive Council,Senate,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KPM""",Protectionist,VIC,Minister for Defence,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KRO""",Protectionist,VIC,Minister for Trade and Customs,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""L2I""",Free Trade,NSW,Postmaster-General,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KWT""",Protectionist,VIC,Treasurer,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""K0X""",Protectionist,SA,Minister for Defence,Senate,Pre-56,Inner,1905-07-05,1907-01-24,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
