phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
JLJ,,H0238,Charles Abbott,Charles,Lydiard Aubrey,Charles,Abbott,The Hon.,,Male,1886-01-04,"Sydney, NSW",1975-04-30
JLL,,H0336,Joe Abbott,Joseph,Palmer,Joe,Abbott,The Hon.,,Male,1891-10-18,"North Sydney, NSW",1965-05-07
JNT,S0147,,Mac Abbott,Macartney,,Mac,Abbott,,,Male,1877-07-03,"Murrurundi, NSW",1960-12-30
JLM,S0117,H0144,Percy Abbott,Percy,Phipps,Percy,Abbott,Brigadier-General,"CMG, VD",Male,1869-05-14,"Hobart, TAS",1940-09-09
JYU,S0127,,Richard Abbott,Richard,Hartley Smith,Richard,Abbott,,,Male,1859,"Bendigo, VIC",1940-02-28
EZ5,,H0882,Tony Abbott,Anthony,John,Tony,Abbott,the Hon.,,Male,1957-11-04,"London, England"
JLN,,H0659,John Abel,John,Arthur,John,Abel,,,Male,1939-06-25,"Marrickville, NSW"
N26,S0445,,Eric Abetz,Eric,,Eric,Abetz,the Hon.,,Male,1958-01-25,"Stuttgart, Germany"
BV5,,H0851,Dick Adams,Dick,Godfrey Harry,Dick,Adams,The Hon.,,Male,1951-04-29,"Launceston, TAS"
E4Q,S0499,,Judith Adams,Judith,Anne,Judith,Adams,,,Female,1943-04-11,"Picton, New Zealand",2012-03-31
JZ2,S0091,,John Adamson,John,,John,Adamson,,CBE   ,Male,1857-02-18,"Tudhoe, England",1922-05-02
JLR,,H0353,Charles Adermann,Charles,Frederick,Charles,Adermann,Rt. Hon. (later Sir),KBE,Male,1896-08-03,"Vernor Siding, QLD",1979-05-09
ID4,,H0615,Evan Adermann,Albert,Evan,Evan,Adermann,The Hon.,,Male,1927-03-10,"Kingaroy, QLD",2001-11-03
JLS,,H0145,Cornelius Ahern,Cornelius,Joseph,Cornelius,Ahern,,,Male,1871-07-10,VIC,1955-07-10
R36,,H0886,Anthony Albanese,Anthony,Norman,Anthony,Albanese,the Hon.,,Male,1963-03-02,"Grayndler, NSW"
KD4,,H0660,Kenneth Aldred,Kenneth,James,Kenneth,Aldred,,,Male,1945-08-01,"Melbourne, VIC"
M3M,,H1065,John Alexander,John,Gilbert,John,Alexander,,,Male,1951-07-04,"Sydney, NSW"
JLT,,H0466,Ian Allan,Archibald,Ian,Ian,Allan,,,Male,1916-01-03,"Newcastle, NSW",2000-02-13
1M6,S0455,,Lyn Allison,Lynette,Fay,Lyn,Allison,,,Female,1946-10-21,"Melbourne, VIC"
LD4,S0392,,Richard Alston,Richard,Kenneth Robert,Richard,Alston,The Hon.,,Male,1941-12-19,"Perth, WA"
JZH,S0163,,Stanley Amour,Stanley,Kerin,Stanley,Amour,,,Male,1900-04-02,"Newcastle, NSW",1979-11-29
JLU,,H0385,Charles Anderson,Charles,Groves Wright,Charles,Anderson,,"VC, MC",Male,1897-02-12,"Cape Town, South Africa",1988-11-11
JLV,,H0386,Gordon Anderson,Gordon,,Gordon,Anderson,,,Male,1897-12-29,"Barkly, VIC",1958-05-23
4K4,,H0815,John Anderson,John,Duncan,John,Anderson,The Hon.,,Male,1956-11-14,"Sydney, NSW"
JZQ,S0235,,Ken Anderson,Kenneth,McColl,Ken,Anderson,the Hon. (later Sir),KBE,Male,1909-10-11,At sea in Australian waters,1985-03-29
KL6,,H0887,Peter Andren,Peter,James,Peter,Andren,,,Male,1946-08-28,"Gulargambone, NSW",2007-11-03
JZW,S0118,,David Andrew,David,John,David,Andrew,,,Male,1866-11-10,"Castlemaine, VIC",1928-11-18
HE4,,H0737,John Andrew,John,Neil,John,Andrew,The Hon.,,Male,1944-06-07,"Waikerie, SA"
230886,,H1066,Karen Andrews,Karen,Lesley,Karen,Andrews,,,Female,1960-08-23,"Brisbane, QLD"
HK5,,H0849,Kevin Andrews,Kevin,James,Kevin,Andrews,the Hon.,,Male,1955-11-09,"Sale, VIC"
JLW,,H0387,Tom Andrews,Thomas,William,Tom,Andrews,,,Male,1900-10-19,"Kalino, VIC",1974-11-21
JLY,,H0121,Frank Anstey,Francis,George,Frank,Anstey,The Hon.,,Male,1865-08-18,"London, England",1940-10-31
BU4,,H0492,Doug Anthony,John,Douglas,Doug,Anthony,Rt. Hon.,"AC, CH",Male,1929-12-31,"Murwillumbah, NSW"
JLZ,,H0324,Larry Anthony,Hubert,Lawrence,Larry,Anthony,The Hon.,,Male,1897-03-12,"Warren, NSW",1957-07-12
XJ6,,H0888,Larry Anthony,Lawrence,James,Larry,Anthony,The Hon.,,Male,1961-12-17,"Sydney, NSW"
HES,S0520,,Mark Arbib,Mark,Victor,Mark,Arbib,the Hon.,,Male,1971-11-09,"Chippendale, NSW"
IE4,S0324,,Brian Archer,Brian,Roper,Brian,Archer,,,Male,1929-08-21,"Calder, TAS",2013-03-10
JM2,,H0096,Edward Archer,Edward,Walker,Edward,Archer,,,Male,1871-12-12,"Croyden, England",1940-07-01
JM8,,H0122,William Archibald,William,Oliver,William,Archibald,The Hon.,,Male,1852-06-03,"St Pancras, England",1926-06-28
K08,S0148,,James Arkins,James,Guy Dalley,James,Arkins,,,Male,1887-10-14,"Millthorpe, NSW",1980-08-02
JM9,,H0518,John Armitage,John,Lindsay,John,Armitage,,,Male,1920-11-11,"Sydney, NSW",2009-04-13
JMA,,H0556,Adam Armstrong,Adam,Alexander,Adam,Armstrong,,"OBE, MC",Male,1909-07-01,"Deniliquin, NSW",1982-02-22
K0C,S0164,,John Armstrong,John,Ignatius,John,Armstrong,The Hon.,,Male,1908-07-10,"Ultimo, NSW",1977-03-10
K0N,S0176,,James Arnold,James,Jarvist,James,Arnold,,,Male,1902-04-12,"Wallaroo, SA",1967-10-29
JMB,,H0146,John Arthur,John,Andrew,John,Arthur,the Hon. ,,Male,1875-08-15,"Castlemaine, VIC",1914-12-09
K0P,S0165,,Tom Arthur,Thomas,Christopher,Tom,Arthur,,,Male,1883-05-11,"Forbes, NSW",1953-06-06
JMC,,H0559,William Arthur,William,Tevlin,William,Arthur,,,Male,1918-04-16,"Sydney, NSW",1982-02-28
K0W,S0159,,Bill Ashley,William,Patrick,Bill,Ashley,The Hon.,,Male,1881-09-20,"Hay, NSW",1958-06-27
JME,,H0616,Alfred Ashley-Brown,Alfred,,Alfred,Ashley-Brown,,,Male,1915-10-05,"Strathfield, NSW",1993-02-05
JMF,,H0473,William Aston,William,John,William,Aston,the Hon. (later Sir),KCMG,Male,1916-09-19,"Sydney, NSW",1997-05-21
JMG,,H0097,Llewellyn Atkinson,Llewellyn,,Llewellyn,Atkinson,The Hon.,,Male,1867-12-18,"Launceston, TAS",1945-11-01
JMI,,H0816,Rodney Atkinson,Rodney,Alexander,Rodney,Atkinson,,,Male,1948-08-07,"Adelaide, SA"
JE4,S0378,,Terence Aulich,Terrence,Gordon,Terence,Aulich,The Hon.,,Male,1945-10-05,"Bathurst, NSW"
K0Z,S0166,,Bill Aylett,William,Edward,Bill,Aylett,,,Male,1900-11-15,"Wynyard, TAS",1976-08-10
J7Q,S0534,,Chris Back,Christopher,John,Chris,Back,Dr,,Male,1950-02-11,"Perth, WA"
JNM,S0142,H0325,Albert Badman,Albert,Oliver,Albert,Badman,,,Male,1885-12-18,"Yacka, SA",1977-04-24
JT4,,H0817,Fran Bailey,Frances,Esther,Fran,Bailey,the Hon.,,Female,1946-05-21,"Brisbane, QLD"
JNO,,H0661,Marshall Baillieu,Marshall,,Marshall,Baillieu,,,Male,1937-06-06,"Melbourne, VIC"
MP6,,H0938,Bruce Baird,Bruce,George,Bruce,Baird,The Hon.,,Male,1942-02-28,"Sydney, NSW"
JNP,,H0278,Frank Baker,Francis,Matthew John,Frank,Baker,,,Male,1903,"Bundaberg, QLD",1939-03-28
JNR,,H0337,Frank Baker,Francis,Patrick,Frank,Baker,,,Male,1873-05-30,"Leyburn, QLD",1959-06-02
DYK,,H0998,Mark Baker,Mark,Horden,Mark,Baker,,,Male,1958-12-31,"La Trobe, TAS"
L2E,S0001,,Richard Baker,Sir,Richard Chaffey,Richard,Baker,the Hon. Sir,KCMG,Male,1841-06-22,"Adelaide, SA",1911-03-18
K18,S0069,,Thomas Bakhap,Thomas,Jerome Kingston,Thomas,Bakhap,,,Male,1866-10-29,"Ballarat, VIC",1923-08-18
LL6,,H0889,Bob Baldwin,Robert,Charles,Bob,Baldwin,the Hon.,,Male,1955-03-09,"Gloucester, England"
MD4,,H0738,Peter Baldwin,Peter,Jeremy,Peter,Baldwin,the Hon.,,Male,1951-04-12,"Aldershot, England"
JNV,,H0058,Frederick Bamford,Frederick,William,Frederick,Bamford,The Hon.,,Male,1849-02-11,"Dubbo, NSW",1934-09-10
JNZ,,H0494,Henry Bandidt,Henry,Norman Charles,Henry,Bandidt,,,Male,1906-10-12,"Galton, QLD",1990-01-06
M3C,,H1067,Adam Bandt,Adam,Paul,Adam,Bandt,,,Male,1972-03-11,"Adelaide, SA"
K1I,S0060,,Stephen Barker,Stephen,,Stephen,Barker,,,Male,1845,"London, England",1924-06-21
JNX,,H0305,Herbert Barnard,Herbert,Claude,Herbert,Barnard,The Hon.,,Male,1890-10-16,"Mole Creek, TAS",1957-12-06
JO8,,H0467,Lance Barnard,Lance,Herbert,Lance,Barnard,The Hon.,,Male,1919-05-01,"Launceston, TAS",1997-08-06
JOA,,H0495,Charles Barnes,Charles,Edward,Charles,Barnes,The Hon.,,Male,1901-11-13,"Einasleigh, QLD",1998-10-24
K1L,S0070,,John Barnes,John,,John,Barnes,The Hon.,,Male,1868-07-17,"Hamilton, SA",1938-01-31
