_id,id.senator,id.member,bio.fulltitle,links.aph,bio.title,bio.prefname,bio.surname,bio.postnominal,bio.postnominalyear,bio.othername,bio.gender,date#bio.dateofbirth,bio.placeofbirth,date#bio.dateofdeath,date#bio.servicefrom,date#bio.serviceto,bio.servicedaystotal,bio.olb,division[0].status,division[0].parltype,division[0].aecdivid,division[0].divname,division[0].divstate,division[0].starttype,date#division[0].startdate,date#division[0].enddate,division[0].endtype,division[0].endreason,division[1].parltype,division[1].aecdivid,division[1].divname,division[1].divstate,division[1].starttype,date#division[1].startdate,date#division[1].enddate,division[1].endtype,division[1].endreason,division[2].parltype,division[2].aecdivid,division[2].divname,division[2].divstate,division[2].starttype,date#division[2].startdate,date#division[2].enddate,date#division[2].endtype,division[2].endreason,division[3].parltype,division[3].aecdivid,division[3].divname,division[3].divstate,division[3].starttype,date#division[3].startdate,date#division[3].enddate,,division[3].endreason,party.count,party[0].partyname,party[0].partycode,party[0].coalition,date#party[0].startdate,date#party[0].enddate,party[1].partyname,party[1].partycode,party[1].coalition,date#party[1].startdate,date#party[1].enddate,party[2].partyname,party[2].partycode,party[2].coalition,date#party[2].startdate,date#party[2].enddate,parliamentaryposition[0].status,parliamentaryposition[0].chamber,parliamentaryposition[0].title,date#parliamentaryposition[0].startdate,date#parliamentaryposition[0].enddate,parliamentaryposition[1].chamber,parliamentaryposition[1].title,date#parliamentaryposition[1].startdate,date#parliamentaryposition[1].enddate,,,,,,,,,,,,
"""EZ5""",,H0882,"Abbott, Anthony John",aph bio,the Hon.,Tony,ABBOTT,,,,Male,1957-11-04,"London, England",,1994-03-26,,7767,Current Member for Warringah (1994- ),Current,Member,,Warringah,NSW,1994-BY5-WARRINGAH,1994-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1994-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLJ""",,H0238,"Abbott, Charles Lydiard Aubrey",aph bio,The Hon.,Charles,ABBOTT,,,,Male,1886-01-04,"Sydney, NSW",1975-04-30,1925-11-14,1937-03-28,3354,Former Member for Gwydir (1931-1937) et al.,Former,Member,,Gwydir,NSW,1931-FULL,1931-12-19,1937-03-28,1937-BY-GWYDIR,Resigned,Member,,Gwydir,NSW,1925-FULL,1925-11-14,1929-10-12,1929-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1925-11-14,1937-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLL""",,H0336,"Abbott, Joseph Palmer",aph bio,The Hon.,Joe,ABBOTT,,,,Male,1891-10-18,"North Sydney, NSW",1965-05-07,1940-09-21,1949-10-31,3327,Former Member for New England (1940-1949),Former,Member,,New England,NSW,1940-FULL,1940-09-21,1949-10-31,1949-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1940-09-21,1949-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JNT""",S0147,,"Abbott, Macartney",aph bio,,Mac,ABBOTT,,,,Male,1877-07-03,"Murrundi, NSW",1960-12-30,1935-07-01,1941-06-30,2191,Former Senator for New South Wales (1935-1941),Former,Senator,,New South Wales,NSW,1934-FULL,1935-07-01,1941-06-30,1940-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLM""",S0117,H0144,"Abbott, Percy Phipps",aph bio,Brigadier-General,Percy,ABBOTT,"CMG, VD",,,Male,1869-05-14,"Hobart, TAS",1940-09-09,1913-05-31,1929-06-30,3671,Former Senator for New South Wales (1925-1929) et al.,Former,Senator,,New South Wales,NSW,1925-FULL,1925-11-14,1929-06-30,1928-FULL,Defeated,Member,,New England,NSW,1913-FULL,1913-05-31,1919-11-03,1919-FULL,Retired,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JYU""",S0127,,"Abbott, Richard Hartley Smith",aph bio,,Richard,ABBOTT,,,,Male,1859-00-00,"Bendigo, VIC",1940-02-28,1928-12-18,1929-06-30,194,Former Senator for Victoria (1928-1929),Former,Senator,,Victoria,VIC,1928-CASUAL4-VIC,1928-12-18,1929-06-30,1928-FULL,Expired Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLN""",,H0659,"Abel, John Arthur",aph bio,,John,ABEL,,,,Male,1939-06-25,"Marrickville, NSW",,1975-12-13,1977-11-10,698,Former Member for Evans (1975-1977),Former,Member,,Evans,NSW,1975-DOUBLE,1975-12-13,1977-11-10,1977-FULL,Abolished at Redistribution (Retired),,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1975-12-13,1977-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""N26""",S0445,,"Abetz, Eric",aph bio,the Hon.,Eric,ABETZ,,,,Male,1958-01-25,"Stuttgart, Germany",,1994-02-22,,7799,Current Senator for Tasmania (1994- ),Current,Senator,,Tasmania,TAS,1994-CASUAL1-TAS,1994-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal,LP,LPNP,1994-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BV5""",,H0851,"Adams, Dick Godfrey Harry",aph bio,The Hon.,Dick,ADAMS,,,,Male,1951-04-29,"Launceston, TAS",,1993-03-13,2013-09-07,7483,Former Member for Lyons (1993-2013),Former,Member,,Lyons,TAS,1993-FULL,1993-03-13,2013-09-07,2013-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1993-03-13,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""E4Q""",S0499,,"Adams, Judith Anne",aph bio,,Judith,ADAMS,,,,Female,1943-04-11,"Picton, New Zealand",2012-03-31,2005-07-01,2012-03-31,2465,Former Senator for Western Australia (2005-2012),Former,Senator,,Western Australia,WA,2004-FULL,2005-07-01,2012-03-31,2012-CASUAL2-WA,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JZ2""",S0091,,"Adamson, John",aph bio,,John,ADAMSON,CBE   ,,,Male,1857-02-18,"Durham, England",1922-05-02,1920-07-01,1922-05-02,670,Former Senator for Queensland (1920-1922),Former,Senator,,Queensland,QLD,1919-FULL,1920-07-01,1922-05-02,1922-CASUAL1-QLD,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ID4""",,H0615,"Adermann, Albert Evan",aph bio,The Hon.,Evan,ADERMANN,,,,Male,1927-03-10,"Kingaroy, QLD",2001-11-03,1972-12-02,1990-02-19,6288,Former Member for Fairfax (1984-1990) et al.,Former,Member,,Fairfax,QLD,1984-FULL,1984-12-01,1990-02-19,1990-FULL,Retired,Member,,Fisher,QLD,1972-HOUSE,1972-12-02,1984-12-01,1984-FULL,Moved at Redistribution (to Fairfax),,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""5E4""",,H0551,"Sinclair, Ian Mccahon",aph bio,Rt. Hon.,Ian,SINCLAIR,AC,,,Male,1929-06-10,"Sydney, NSW",,1963-11-30,1998-08-31,12693,Former Member for New England (1963-1998),Former,Member,,New England,NSW,1963-HOUSE,1963-11-30,1998-08-31,1998-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLS""",,H0145,"Ahern, Cornelius Joseph",aph bio,,Cornelius,AHERN,,,,Male,1871-07-10,VIC,1955-07-10,1913-05-31,1914-09-05,462,Former Member for Indi (1913-1914),Former,Member,,Indi,VIC,1913-FULL,1913-05-31,1914-09-05,1914-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1913-05-31,1914-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""R36""",,H0886,"Albanese, Anthony Norman",aph bio,the Hon.,Anthony,ALBANESE,,,,Male,1963-03-02,"Grayndler, NSW",,1996-03-02,,7060,Current Member for Grayndler (1996- ),Current,Member,,Grayndler,NSW,1996-CASUAL1,1996-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1996-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KD4""",,H0660,"Aldred, Kenneth James",aph bio,,Kenneth,ALDRED,,,,Male,1945-08-01,"Melbourne, VIC",,1975-12-13,1996-01-29,6400,Former Member for Deakin (1990-1996) et al.,Former,Member,,Deakin,VIC,1990-FULL,1990-03-24,1996-01-29,1996-FULL,Retired,Member,,Bruce,VIC,1983-BY2-BRUCE,1983-05-28,1990-03-24,1990-FULL,Moved at Redistribution (to Deakin),Member,,Henty,Vic,1975-DOUBLE,1975-12-13,1980-10-18,1980-FULL,Defeated,,,,,,,,,,ONE,Liberal Party,LIB,,1975-12-13,1996-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""M3M""",,H1065,"Alexander, John Gilbert",aph bio,,John,ALEXANDER,,,,Male,1951-07-04,"Sydney, NSW",,2010-08-21,,1775,Current Member for Bennelong (2010- ),Current,Member,,Bennelong,NSW,2010-FULL,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLT""",,H0466,"Allan, Archibald Ian",aph bio,,Ian,ALLAN,,,,Male,1916-01-03,"Newcastle, NSW",2000-02-13,1953-12-19,1969-04-30,5611,Former Member for Gwydir (1953-1969),Former,Member,,Gwydir,NSW,1953-BY4-GWYDIR,1953-12-19,1969-04-30,1969-BY3-GWYDIR,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1953-12-19,1969-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1M6""",S0455,,"Allison, Lynette Fay",aph bio,,Lyn,ALLISON,,,,Female,1946-10-21,"Melbourne, VIC",,1996-07-01,2008-06-30,4382,Former Senator for Victoria (1996-2008),Former,Senator,,Victoria,VIC,1996-FULL,1996-07-01,2008-06-30,2007-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
