NameID,DocDate,MPtype,Name
258337,29/06/2015,Senator,"LINDGREN, Joanna Maria"
N26,5/06/2015,Senator,"ABETZ, the Hon. Eric"
E4Q,2/04/2012,Former,"ADAMS, Judith Anne"
BV5,24/09/2013,Former,"ADAMS, the Hon. Dick Godfrey Harry"
ID4,24/04/1997,Former,"ADERMANN, the Hon. Albert Evan"
R36,5/06/2015,Member,"ALBANESE, the Hon. Anthony Norman"
KD4,24/04/1997,Former,"ALDRED, Kenneth James"
M3M,25/02/2015,Member,"ALEXANDER, John Gilbert"
1M6,21/08/2008,Former,"ALLISON, Lynette (Lyn) Fay"
LD4,21/02/2005,Former,"ALSTON, the Hon. Richard Kenneth Robert"
EZ5,5/06/2015,Member,"ABBOTT, the Hon. Anthony (Tony) John"
4K4,27/11/2007,Former,"ANDERSON, the Hon. John Duncan"
HE4,4/09/2006,Former,"ANDREW, the Hon. John Neil"
230886,5/03/2015,Member,"ANDREWS, Karen Lesley"
HK5,5/06/2015,Member,"ANDREWS, the Hon. Kevin James"
XJ6,18/01/2006,Former,"ANTHONY, the Hon. Lawrence (Larry) James"
HES,5/03/2011,Former,"ARBIB, the Hon. Mark Victor"
IE4,24/04/1997,Former,"ARCHER, Brian Roper"
JMI,7/11/2014,Former,"ATKINSON, Rodney Alexander"
JE4,24/04/1997,Former,"AULICH, the Hon. Terrence Gordon"
J7Q,5/06/2015,Senator,"BACK, Dr Christopher John"
KL6,26/11/2007,Former,"ANDREN, Peter James"
MP6,26/11/2007,Former,"BAIRD, the Hon. Bruce George"
JT4,19/07/2010,Former,"BAILEY, the Hon. Frances (Fran) Esther"
MD4,13/11/1998,Former,"BALDWIN, the Hon. Peter Jeremy"
LL6,5/06/2015,Member,"BALDWIN, the Hon. Robert (Bob) Charles"
M3C,5/06/2015,Member,"BANDT, Adam"
00AUF,30/06/2011,Former,"BARNETT, Guy"
ZJ6,17/12/2007,Former,"BARRESI, Phillip Anthony"
DT6,27/08/2008,Former,"BARTLETT, Andrew John Julian"
0K6,19/09/2008,Former,"BARTLETT, Kerry Joseph"
LE4,24/04/1997,Former,"BAUME, Michael Ehrenfried"
ME4,24/04/1997,Former,"BAUME, the Hon. Peter Erne, AO"
NE4,24/04/1997,Former,"BEAHAN, the Hon. Michael Eamon"
OE4,24/04/1997,Former,"BEALE, Julian Howard"
PE4,26/11/2007,Former,"BEAZLEY, the Hon. Kim Christian"
QE4,13/11/1998,Former,"BEDDALL, the Hon. David Peter"
7U4,25/07/2007,Former,"BELL, Robert John"
G0D,23/06/2015,Senator,"BERNARDI, Cory"
ET4,14/09/2010,Former,"BEVIS, the Hon. Archibald (Arch) Ronald"
HVM,19/07/2010,Former,"BIDGOOD, James Mark"
1K6,5/06/2015,Member,"BILLSON, the Hon. Bruce Fredrick"
RE4,24/04/1997,Former,"BILNEY, the Hon. Gordon Neil"
DYK,12/12/2007,Former,"BAKER, Mark Horden"
DZP,5/06/2015,Member,"BIRD, the Hon. Sharon Leah"
H6X,5/06/2015,Senator,"BIRMINGHAM, the Hon. Simon John"
SE4,14/05/2015,Member,"BISHOP, the Hon. Bronwyn Kathleen"
HZB,5/06/2015,Senator,"BILYK, Catryna Louise"
2L6,30/06/2014,Former,"BISHOP, Thomas Mark"
ND4,24/04/1997,Former,"BJELKE-PETERSEN, Lady (Florence Isabel)"
TE4,24/04/1997,Former,"BLACK, John Rees"
UE4,24/04/1997,Former,"BLANCHARD, Cecil Allen"
VE4,24/04/1997,Former,"BLEWETT, the Hon. Dr Neal, AC"
WE4,24/04/1997,Former,"BLUNT, Charles William"
XE4,14/08/2007,Former,"BOLKUS, the Hon. Nick"
YE4,30/06/2014,Former,"BOSWELL, the Hon. Ronald Leslie Doyle"
TW4,2/02/2005,Former,"BOURNE, Vicki Worrall"
DZS,5/06/2015,Member,"BOWEN, the Hon. Christopher Eyles"
ZE4,24/04/1997,Former,"BOWEN, the Hon. Lionel Frost, AC"
H6V,30/06/2014,Former,"BOYCE, Suzanne (Sue) Kay"
HVW,27/09/2013,Former,"BRADBURY, the Hon. David John"
FT4,13/11/1998,Former,"BRADFORD, John Walter"
0F4,24/04/1997,Former,"BRAITHWAITE, Raymond Allen"
008W7,5/06/2015,Senator,"BRANDIS, the Hon. George Henry, QC"
5T4,14/08/2007,Former,"BRERETON, the Hon. Laurence John"
IYU,17/03/2014,Member,"BRIGGS, the Hon. Jamie Edward"
30379,12/12/2013,Member,"BROAD, Andrew John"
MT4,5/06/2015,Member,"BROADBENT, Russell Evan"
30540,5/06/2015,Member,"BRODTMANN, Gai Marie"
2K6,5/06/2015,Member,"BROUGH, the Hon. Malcolm (Mal) Thomas"
F49,20/05/2015,Senator,"BROWN, Carol Louise"
QD4,15/06/2012,Former,"BROWN, Robert (Bob) James"
OD4,24/04/1997,Former,"BROWN, the Hon. John Joseph, AO"
PD4,24/04/1997,Former,"BROWN, the Hon. Neil Anthony, QC"
RD4,24/05/2002,Former,"BROWNHILL, the Hon. David Gordon Cadell"
1F4,24/04/1997,Former,"BRUMBY, John Mansfield"
230531,14/05/2015,Member,"BUCHHOLZ, Scott Andrew"
009D2,6/07/2007,Former,"BUCKLAND, Geoffrey Frederick"
243237,30/09/2014,Senator,"BULLOCK, Joseph (Joe) Warrington"
83S,5/06/2015,Member,"BURKE, Anna Elizabeth"
DYW,5/06/2015,Member,"BURKE, the Hon. Anthony (Tony) Stephen"
2F4,24/04/1997,Former,"BURNS, Bryant Robert"
3F4,24/04/1997,Former,"BURR, Maxwell Arthur"
HLL,6/07/2015,Senator,"BUSHBY, David Christopher"
248006,8/10/2014,Member,"BUTLER, Terri Megan"
HWK,8/08/2014,Member,"BUTLER, the Hon. Mark Christopher"
4F4,11/04/2008,Former,"BUTTON, the Hon. John Norman"
008K0,5/06/2015,Member,"BYRNE, the Hon. Anthony Michael"
83P,5/06/2015,Member,"BISHOP, the Hon. Julie Isabel"
5F4,30/08/2007,Former,"CALVERT, the Hon. Paul Henry"
9F4,9/02/2009,Former,"CAMERON, Donald Milner"
6V5,30/04/1999,Former,"CAMERON, Eoin Harrap"
AF4,24/04/1997,Former,"CAMERON, Ewen Colin"
BF4,24/04/1997,Former,"CAMERON, Ian Milne Dixon"
AI6,5/06/2015,Senator,"CAMERON, the Hon. Douglas Niven"
3K6,24/11/2004,Former,"CAMERON, the Hon. Ross Alexander"
SD4,27/11/2009,Former,"CADMAN, the Hon. Alan Glyndwr, OAM"
CF4,24/06/2004,Former,"CAMPBELL, Graeme"
HWC,19/07/2010,Former,"CAMPBELL, Jodie Louise"
H15,10/02/2009,Former,"CAMPBELL, the Hon. Ian Gordon"
245212,29/06/2015,Senator,"CANAVAN, Matthew James"
DF4,24/04/1997,Former,"CARLTON, the Hon. James Joseph"
AW5,5/06/2015,Senator,"CARR, the Hon. Kim John"
WX4,24/10/2013,Former,"CARR, the Hon. Robert (Bob) John"
I0M,5/06/2015,Senator,"CASH, the Hon. Michaelia Clare"
NT4,24/04/1997,Former,"CATLEY, Dr Robert (Bob)"
4K6,14/02/2008,Former,"CAUSLEY, the Hon. Ian Raymond"
37998,8/10/2014,Member,"CHALMERS, Dr James (Jim) Edward"
SN5,27/08/2008,Former,"CHAMARETTE, Christabel Marguerite Alain"
HW9,5/06/2015,Member,"CHAMPION, Nicholas (Nick) David"
EF4,9/02/2009,Former,"CHANEY, the Hon. Frederick Michael"
FF4,21/08/2008,Former,"CHAPMAN, Hedley Grant Pearson"
GF4,24/04/1997,Former,"CHARLES, David Ernest"
OT4,27/10/2004,Former,"CHARLES, Robert (Bob) Edwin"
TD4,24/04/1997,Former,"CHARLESWORTH, Dr Richard Ian, AM"
HW7,26/09/2013,Former,"CHEESEMAN, Darren"
00A9C,30/06/2005,Former,"CHERRY, John Clifford"
IPZ,5/06/2015,Member,"CHESTER, the Hon. Darren Jeffrey"
249710,10/07/2014,Member,"CHESTERS, Lisa Marie"
HF4,24/04/1997,Former,"CHILD, the Hon. Joan, AO"
IF4,24/04/1997,Former,"CHILDS, Bruce Kenneth"
3V4,24/04/1997,Former,"CHIPP, the Hon. Donald Leslie, AO"
230485,5/06/2015,Member,"CHRISTENSEN, George Robert"
JF4,24/04/1997,Former,"CHYNOWETH, Robert (Bob) Leslie"
00AN0,5/06/2015,Member,"CIOBO, the Hon. Steven Michele"
HWL,24/06/2015,Member,"CLARE, the Hon. Jason Dean"
248181,31/03/2015,Member,"CLAYDON, Sharon Catherine"
BO5,24/04/1997,Former,"CLEARY, Philip Ronald"
KF4,24/04/1997,Former,"CLEELAND, Peter Robert"
LF4,24/04/1997,Former,"COATES, John"
MF4,16/01/2001,Former,"COBB, Michael Roy"
00AN1,25/06/2014,Member,"COBB, the Hon. John Kenneth"
NF4,24/04/1997,Former,"COHEN, the Hon. Barry"
00AOL,5/06/2015,Senator,"COLBECK, the Hon. Richard Mansell"
241067,23/06/2015,Member,"COLEMAN, David"
5V4,24/04/1997,Former,"COLEMAN, Ruth Nancy"
4V4,24/04/1997,Former,"COLEMAN, William Peter"
GB6,5/06/2015,Senator,"COLLINS, the Hon. Jacinta Mary Ann"
HWM,23/06/2014,Member,"COLLINS, the Hon. Julie Maree"
OF4,29/06/1998,Former,"COLLINS, the Hon. Robert (Bob) Lindsay"
PF4,7/06/2000,Former,"COLSTON, Malcolm (Mal) Arthur"
YW6,6/09/2013,Former,"COMBET, the Hon. Gregory (Greg) Ivan, AM"
QF4,24/04/1997,Former,"CONNOLLY, David Miles"
249127,31/03/2015,Member,"CONROY, Patrick Martin"
3L6,5/06/2015,Senator,"CONROY, the Hon. Stephen Michael"
RF4,4/07/2008,Former,"COOK, the Hon. Peter Francis Salmon"
2M6,22/08/2011,Former,"COONAN, the Hon. Helen Lloyd"
SF4,7/06/2004,Former,"COONEY, Bernard (Barney) Cornelius"
009CW,20/02/2008,Former,"CORCORAN, Ann Kathleen"
HDA,3/01/2014,Senator,"CORMANN, the Hon. Mathias Hubert Paul"
CT4,19/10/2009,Former,"COSTELLO, the Hon. Peter Howard"
TF4,24/04/1997,Former,"COULTER, John Richard"
HWN,5/06/2015,Member,"COULTON, Mark Maclean"
UF4,24/04/1997,Former,"COURTICE, Brian William"
VF4,24/04/1997,Former,"COWAN, David Bruce"
83U,23/08/2005,Former,"COX, David Alexander"
UW4,7/06/2004,Former,"CRANE, Arthur Winston"
WF4,24/04/1997,Former,"CRAWFORD, the Hon. Mary Catherine"
DT4,6/09/2013,Former,"CREAN, the Hon. Simon Findlay"
XF4,24/04/1997,Former,"CRICHTON-BROWNE, Noel Ashley"
M3K,6/09/2013,Former,"CROOK, Anthony (Tony) John"
7T4,6/01/2005,Former,"CROSIO, the Hon. Janice Ann, MBE"
YF4,24/04/1997,Former,"CROSS, Manfred Douglas"
7Y6,6/09/2013,Former,"CROSSIN, Patricia (Trish) Margaret"
ZF4,4/07/2008,Former,"CROWLEY, the Hon. Rosemary Anne"
0G4,26/05/2008,Former,"CUNNINGHAM, Barry Thomas"
WF6,5/06/2015,Member,"DANBY, the Hon. Michael David"
KP6,9/02/1999,Former,"DARGAVEL, Steven John"
UD4,24/04/1997,Former,"DARLING, Elaine Elizabeth"
225099,7/07/2014,Senator,"DASTYARI, Sam"
HVN,1/10/2013,Former,"D'ATH, the Hon. Yvette Maree"
9E4,26/05/2008,Former,"DAWKINS, the Hon. John Sydney"
HYG,8/12/2014,Senator,"DAY, Robert (Bob) John, AO"
LV5,24/04/1997,Former,"DEAHM, Margaret (Maggie) Joan"
8IS,19/07/2010,Former,"DEBUS, Hon. Robert (Bob) John"
FY5,11/08/2005,Former,"DENMAN, Kay Janet"
1G4,24/05/2004,Former,"DEVEREUX, John Robert"
NB5,22/08/2008,Former,"CAMPBELL, George"
53369,23/06/2015,Senator,"DI NATALE, Richard"
EV5,24/04/1997,Former,"DODD, Peter George"
5M6,20/06/2008,Former,"DONDAS, the Hon. Nicholas (Nick) Manuel, AM"
4G4,25/08/2008,Former,"DOWNER, the Hon. Alexander John Gosse"
0L6,28/08/2008,Former,"DRAPER, Patricia (Trish)"
HWG,24/06/2015,Member,"DREYFUS, the Hon. Mark Alfred, QC"
KCT,24/04/1997,Former,"DRUMMOND, Peter Hertford"
5G4,25/05/2004,Former,"DUBOIS, Stephen Cairfield"
6G4,25/05/2004,Former,"DUFFY, the Hon. Michael John"
7G4,4/07/2008,Former,"DUNCAN, the Hon. Peter"
3K4,24/04/1997,Former,"DUNN, Patricia Irene (Irina)"
00AKI,5/06/2015,Member,"DUTTON, the Hon. Peter Craig"
RU5,24/04/1997,Former,"EASSON, Mary Louise"
9G4,1/01/2012,Former,"EDWARDS, Dr Harold (Harry) Raymond"
AG4,24/04/1997,Former,"EDWARDS, Ronald Frederick"
225307,4/03/2015,Senator,"EDWARDS, Sean Christopher"
JUI,24/04/1997,Former,"DEVLIN, Arthur Ray"
4L6,30/06/2014,Former,"EGGLESTON, Alan"
DZW,5/06/2015,Member,"ELLIOT, the Hon. Maria Justine"
6T4,27/03/2001,Former,"ELLIOTT, the Hon. Robert Paul"
5K6,19/07/2010,Former,"ELLIS, Annette Louise"
DZU,5/06/2015,Member,"ELLIS, the Hon. Katherine (Kate) Margaret"
9X5,3/02/2009,Former,"ELLISON, the Hon. Christopher Martin"
6K6,26/11/2007,Former,"ELSON, Kay Selma"
83V,6/09/2013,Former,"EMERSON, the Hon. Dr Craig Anthony"
7K6,5/06/2015,Member,"ENTSCH, the Hon. Warren George"
N36,10/02/2006,Former,"EVANS, Martyn John"
3V5,13/11/1998,Former,"EVANS, Richard David Conroy"
AX5,12/04/2013,Former,"EVANS, the Hon. Christopher Vaughan"
VD4,4/07/2008,Former,"EVANS, the Hon. Gareth John, QC"
7R5,19/05/2006,Former,"EVERINGHAM, the Hon. Paul Anthony Edward"
HQ5,21/07/2004,Former,"FAHEY, the Hon. John Joseph"
00AMO,19/07/2010,Former,"FARMER, the Hon. Patrick Francis"
I0N,30/06/2014,Former,"FARRELL, the Hon. Donald Edward"
WD4,5/11/2014,Former,"FATIN, the Hon. Wendy Frances"
5K4,27/03/2015,Former,"FAULKNER, the Hon. John Philip"
DYU,5/06/2015,Senator,"FAWCETT, David Julian"
I0O,5/06/2015,Member,"FEENEY, the Hon. David Ian"
DYH,12/12/2007,Former,"FERGUSON, Michael Darrel"
EP5,30/06/2011,Former,"FERGUSON, the Hon. Alan Baird"
8T4,5/06/2015,Member,"FERGUSON, the Hon. Laurie Donald Thomas"
LS4,6/09/2013,Former,"FERGUSON, the Hon. Martin John, AM"
5L6,17/07/2008,Former,"FERRIS, Jeannie Margaret"
