+people, type, description, date
IIS|885|,family, <a href="/s/p/IIS">Thomas Hughes</> is the father-in-law of <a href="/s/p/885">Malcolm Turnbull</a>.,
ID4|JLR|, family,<a href="/s/p/JLR">Charles Frederick Adermann</a> is the Father of <a href="/s/p/ID4">Albert Evan Adermann</a>,
JLZ|BU4|XJ6, family,<a href="/s/p/BU4">John Douglas Anthony</a> is the Son of <a href="/s/p/JLZ">Hubert Lawrence Anthony</a>; <a href="/s/p/XJ6">Lawrence James Anthony</a> is the Grandson of <a href="/s/p/JLZ">Hubert Lawrence Anthony</a>,
BU4|JLZ|XJ6, family,<a href="/s/p/JLZ">Hubert Lawrence Anthony</a> is the Father of <a href="/s/p/BU4">John Douglas Anthony</a>; <a href="/s/p/XJ6">Lawrence James Anthony</a> is the Son of <a href="/s/p/BU4">John Douglas Anthony</a>,
XJ6|BU4|JLZ, family,<a href="/s/p/BU4">John Douglas Anthony</a> is the Father of <a href="/s/p/XJ6">Lawrence James Anthony</a>; <a href="/s/p/JLZ">Hubert Lawrence Anthony</a> is the Grandfather of <a href="/s/p/XJ6">Lawrence James Anthony</a>,
JNP|JNR|, family,<a href="/s/p/JNR">Francis Patrick Baker</a> is the Father of <a href="/s/p/JNP">Francis Matthew John Baker</a>,
JNR|JNP|, family,<a href="/s/p/JNP">Francis Matthew John Baker</a> is the Son of <a href="/s/p/JNR">Francis Patrick Baker</a>,
JNX|JO8|, family,<a href="/s/p/JO8">Lance Herbert Barnard</a> is the Son of <a href="/s/p/JNX">Herbert Claude Barnard</a>,
JO8|JNX|, family,<a href="/s/p/JNX">Herbert Claude Barnard</a> is the Father of <a href="/s/p/JO8">Lance Herbert Barnard</a>,
LE4|ME4|, family,<a href="/s/p/ME4">Peter Erne Baume</a> is the Cousin of <a href="/s/p/LE4">Michael Ehrenfried Baume</a>,
ME4|LE4|, family,<a href="/s/p/LE4">Michael Ehrenfried Baume</a> is the Cousin of <a href="/s/p/ME4">Peter Erne Baume</a>,
OE4|JOI|, family,<a href="/s/p/JOI">Oliver Howard Beale</a> is the Father of <a href="/s/p/OE4">Julian Howard Beale</a>,
JOI|OE4|, family,<a href="/s/p/OE4">Julian Howard Beale</a> is the Son of <a href="/s/p/JOI">Oliver Howard Beale</a>,
PE4|JF7|, family,<a href="/s/p/JF7">Kim Edward Beazley</a> is the Father of <a href="/s/p/PE4">Kim Christian Beazley</a>,
JF7|PE4|, family,<a href="/s/p/PE4">Kim Christian Beazley</a> is the Son of <a href="/s/p/JF7">Kim Edward Beazley</a>,
JPL|JPN|, family,<a href="/s/p/JPN">Maurice Mccrae Blackburn</a> is the Husband of <a href="/s/p/JPL">Doris Amelia Blackburn</a>,
JPN|JPL|, family,<a href="/s/p/JPL">Doris Amelia Blackburn</a> is the Wife of <a href="/s/p/JPN">Maurice Mccrae Blackburn</a>,
JR7|0K4|, family,<a href="/s/p/0K4">Ian Bonython Cameron Wilson</a> is the Great Grandson of <a href="/s/p/JR7">Sir John Langdon Bonython</a>,
