parlhand.person.phid,parlhand.chamber.title,parlhand.electorate.label,_state,start_reason,start_date,end_date,_end_event,end_reason
"JLJ",Member,Gwydir,NSW,1931-HOR,1931-12-19,1937-03-28,1937-BY1-GWYDIR,Resigned
"JLL",Member,New England,NSW,1940-HOR,1940-09-21,1949-10-31,1949-HOR,Retired
"JNT",Senator,New South Wales,NSW,1934-SEN,1935-07-01,1941-06-30,1940-SEN,Defeated
"JLM",Senator,New South Wales,NSW,1925-SEN,1925-11-14,1929-06-30,1928-SEN,Defeated
"JYU",Senator,Victoria,VIC,1928-CASUAL4-VIC,1928-12-18,1929-06-30,1928-SEN,Expired Retired
"EZ5",Member,Warringah,NSW,1994-BY5-WARRINGAH,1994-03-26,,,
"JLN",Member,Evans,NSW,1975-HOR,1975-12-13,1977-11-10,1977-HOR,Abolished at Redistribution (Retired)
"N26",Senator,Tasmania,TAS,1994-CASUAL1-TAS,1994-02-22,,,
"BV5",Member,Lyons,TAS,1993-HOR,1993-03-13,2013-09-07,2013-HOR,Defeated
"E4Q",Senator,Western Australia,WA,2004-SEN,2005-07-01,2012-03-31,2012-CASUAL2-WA,Died
"JZ2",Senator,Queensland,QLD,1919-SEN,1920-07-01,1922-05-02,1922-CASUAL1-QLD,Died
"JLR",Member,Fisher,QLD,1949-HOR,1949-12-10,1972-11-02,1972-HOR,Retired
"ID4",Member,Fairfax,QLD,1984-HOR,1984-12-01,1990-02-19,1990-HOR,Retired
"JLS",Member,Indi,VIC,1913-HOR,1913-05-31,1914-09-05,1914-HOR,Defeated
"R36",Member,Grayndler,NSW,1996-HOR,1996-03-02,,,
"KD4",Member,Deakin,VIC,1990-HOR,1990-03-24,1996-01-29,1996-HOR,Retired
"M3M",Member,Bennelong,NSW,2010-HOR,2010-08-21,,,
"JLT",Member,Gwydir,NSW,1953-BY4-GWYDIR,1953-12-19,1969-04-30,1969-BY3-GWYDIR,Resigned
"1M6",Senator,Victoria,VIC,1996-SEN,1996-07-01,2008-06-30,2007-SEN,Defeated
"LD4",Senator,Victoria,VIC,1986-CASUAL2-VIC,1986-05-07,2004-02-10,2004-CASUAL1-VIC,Resigned
"JZH",Senator,New South Wales,NSW,1937-SEN,1938-07-01,1965-06-30,1964-SEN,Retired
"JLU",Member,Hume,NSW,1955-HOR,1955-12-10,1961-12-09,1961-HOR,Defeated
"JLV",Member,Kingsford-Smith (now Kingsford Smith),NSW,1949-HOR,1949-12-10,1955-11-04,1955-HOR,Retired
"4K4",Member,Gwydir,NSW,1989-BY1-GWYDIR,1989-04-15,2007-10-17,2007-HOR,Abolished at Redistribution (Retired)
"JZQ",Senator,New South Wales,NSW,1953-SEN,1953-07-01,1975-11-11,1975-SEN,Retired
"KL6",Member,Calare,NSW,1996-HOR,1996-03-02,2007-10-17,2007-HOR,Retired
"JZW",Senator,Victoria,VIC,1925-SEN,1925-11-14,1928-11-18,1928-CASUAL4-VIC,Died
"HE4",Member,Wakefield,SA,1983-HOR,1983-03-05,2004-08-31,2004-HOR,Retired
"230886",Member,McPherson,QLD,2010-HOR,2010-08-21,,,
"HK5",Member,Menzies,VIC,1991-BY1-MENZIES,1991-05-11,,,
"JLW",Member,Darebin,VIC,1949-HOR,1949-12-10,1955-12-10,1955-HOR,Defeated
"JLY",Member,Bourke,VIC,1910-HOR,1910-04-13,1934-08-07,1934-HOR,Retired
"BU4",Member,Richmond,NSW,1957-BY1-RICHMOND,1957-09-14,1984-01-18,1984-BY1-CORANGAMITE,Resigned
"JLZ",Member,Richmond,NSW,1937-HOR,1937-10-23,1957-07-12,1957-BY1-RICHMOND,Died
"XJ6",Member,Richmond,NSW,1996-HOR,1996-03-02,2004-10-09,2004-HOR,Defeated
"HES",Senator,New South Wales,NSW,2007-SEN,2008-07-01,2012-03-05,2012-CASUAL1-NSW,Resigned
"IE4",Senator,Tasmania,TAS,1975-SEN,1975-12-13,1994-01-31,1994-CASUAL1-TAS,Resigned
"JM2",Member,Capricornia,QLD,1906-HOR,1906-12-12,1910-04-13,1910-HOR,Defeated
"JM8",Member,Hindmarsh,SA,1910-HOR,1910-04-13,1919-12-13,1919-HOR,Defeated
"K08",Senator,New South Wales,NSW,1935-CASUAL2-NSW,1935-09-26,1937-10-22,1937-SEN,Expired Defeated
"JM9",Member,Chifley,NSW,1969-HOR,1969-10-25,1983-02-04,1983-HOR,Retired
"JMA",Member,Riverina i,NSW,1965-BY1-RIVERINA,1965-02-27,1969-10-25,1969-HOR,Defeated
"K0C",Senator,New South Wales,NSW,1937-SEN,1938-07-01,1962-06-30,1961-SEN,Retired
"K0N",Senator,New South Wales,NSW,1940-SEN,1941-07-01,1965-06-30,1964-SEN,Retired
"JMB",Member,Bendigo,VIC,1913-HOR,1913-05-31,1914-12-09,1915-BY1-BENDIGO,Died
"K0P",Senator,New South Wales,NSW,1937-SEN,1938-07-01,1944-06-30,1943-SEN,Defeated
"JMC",Member,Barton,NSW,1966-HOR,1966-11-26,1969-10-25,1969-HOR,Defeated
"K0W",Senator,New South Wales,NSW,1937-SEN,1937-10-23,1958-06-27,1958-CASUAL1-NSW,Died
"JME",Member,Mitchell,NSW,1972-HOR,1972-12-02,1974-05-18,1974-HOR,Defeated
"JMF",Member,Phillip,NSW,1963-HOR,1963-11-30,1972-12-02,1972-HOR,Defeated
"JMG",Member,Wilmot,TAS,1906-HOR,1906-12-12,1929-10-12,1929-HOR,Defeated
"JMI",Member,Isaacs,VIC,1990-HOR,1990-03-24,1996-03-02,1996-HOR,Defeated
"JE4",Senator,Tasmania,TAS,1984-SEN,1984-12-01,1993-06-30,1993-SEN,Defeated
"K0Z",Senator,Tasmania,TAS,1937-SEN,1938-07-01,1965-06-30,1964-SEN,Retired
"J7Q",Senator,Western Australia,WA,2009-CASUAL1-WA,2009-03-11,,,
"JNM",Member,Grey,SA,1937-HOR,1937-10-23,1943-08-21,1943-HOR,Defeated
"JT4",Member,McEwen,VIC,1996-HOR,1996-03-02,2010-07-19,2010-HOR,Retired
"JNO",Member,La Trobe,VIC,1975-HOR,1975-12-13,1980-10-18,1980-HOR,Defeated
"MP6",Member,Cook ii,NSW,1998-HOR,1998-10-03,2007-10-17,2007-HOR,Retired
"JNP",Member,Griffith,QLD,1934-HOR,1934-09-15,1939-03-28,1939-BY1-GRIFFITH,Died
"JNR",Member,Maranoa,QLD,1940-HOR,1940-09-21,1943-08-21,1943-HOR,Defeated
"DYK",Member,Braddon,TAS,2004-HOR,2004-10-09,2007-11-24,2007-HOR,Defeated
"L2E",Senator,South Australia,SA,1901-SEN2,1901-03-30,1906-12-31,1906-SEN,Retired
"K18",Senator,Tasmania,TAS,1913-SEN,1913-07-01,1923-08-18,1923-CASUAL1-TAS,Died
"LL6",Member,Paterson,NSW,2001-HOR,2001-11-10,,,
"MD4",Member,Sydney,NSW,1983-HOR,1983-03-05,1998-08-31,1998-HOR,Retired
"JNV",Member,Herbert,QLD,1901-HOR2,1901-03-30,1925-10-03,1925-HOR,Retired
"JNZ",Member,Wide Bay,QLD,1958-HOR,1958-11-22,1961-12-09,1961-HOR,Defeated
"M3C",Member,Melbourne,VIC,2010-HOR,2010-08-21,,,
"K1I",Senator,Victoria,VIC,1922-SEN,1923-07-01,1924-06-21,1924-CASUAL1-VIC,Died
"JNX",Member,Bass,TAS,1934-HOR,1934-09-15,1949-12-10,1949-HOR,Defeated
"JO8",Member,Bass,TAS,1954-HOR,1954-05-29,1975-06-02,1975-BY1-BASS,Resigned
"JOA",Member,McPherson,QLD,1958-HOR,1958-11-22,1972-11-02,1972-HOR,Retired
"K1L",Senator,Victoria,VIC,1937-SEN,1938-07-01,1938-01-31,1938-CASUAL1-VIC,died before taking seat
"00AUF",Senator,Tasmania,TAS,2002-CASUAL2-TAS,2002-02-26,2011-06-30,2010-SEN,Defeated
"ZJ6",Member,Deakin,VIC,1996-HOR,1996-03-02,2007-11-24,2007-HOR,Defeated
"K1O",Senator,Victoria,VIC,1901-SEN1,1901-03-29,1903-12-31,1903-SEN,Defeated
"DT6",Senator,Queensland,QLD,1997-CASUAL6-QLD,1997-10-30,2008-06-30,2007-SEN,Defeated
"0K6",Member,Macquarie,NSW,1996-HOR,1996-03-02,2007-11-24,2007-HOR,Defeated
"009LR",Member,Hunter,NSW,1901-HOR1,1901-03-29,1903-09-30,1903-HOR-NOBY,Resigned
"K1P",Senator,South Australia,SA,1925-CASUAL4-SA,1925-12-18,1928-03-22,1928-CASUAL1-SA,Resigned
"126",Member,Parramatta,NSW,1958-BY1-PARRAMATTA,1958-03-08,1964-04-24,1964-BY3-PARRAMATTA,Resigned
"JOC",Member,Boothby,SA,1903-HOR,1903-12-16,1911-10-08,1911-BY3-BOOTHBY,Died
"JOE",Member,Macarthur,NSW,1949-HOR,1949-12-10,1972-12-02,1972-HOR,Defeated
"LE4",Senator,New South Wales,NSW,1984-SEN,1985-07-01,1996-09-09,1996-CASUAL5-NSW,Resigned
"ME4",Senator,New South Wales,NSW,1974-SEN,1974-05-18,1991-01-28,1991-CASUAL1-NSW,Resigned
"JOG",Member,Oxley,QLD,1917-HOR,1917-05-05,1931-12-19,1931-HOR,Defeated
"NE4",Senator,Western Australia,WA,1987-SEN,1987-07-11,1996-06-30,1996-SEN,Defeated
"OE4",Member,Bruce,VIC,1990-HOR,1990-03-24,1996-03-02,1996-HOR,Defeated
"JOI",Member,Parramatta,NSW,1946-HOR,1946-09-28,1958-02-10,1958-BY1-PARRAMATTA,Resigned
"JOK",Member,Batman,VIC,1910-HOR,1910-04-13,1910-12-18,1911-BY1-BATMAN,Died
"JOM",Member,West Sydney,NSW,1928-HOR,1928-11-17,1946-08-14,1946-HOR-NOBY,Resigned
"JOO",Member,Bendigo,VIC,1960-BY4-BENDIGO,1960-07-16,1969-04-09,1969-BY2-BENDIGO,Resigned
"JF7",Member,Fremantle,WA,1945-BY1-FREMANTLE,1945-08-18,1977-11-10,1977-HOR,Retired
"PE4",Member,Brand,WA,1996-HOR,1996-03-02,2007-10-17,2007-HOR,Retired
"JOQ",Member,Denison,TAS,1940-HOR,1940-09-21,1943-08-21,1943-HOR,Defeated
"QE4",Member,Rankin,QLD,1984-HOR,1984-12-01,1998-08-31,1998-HOR,Retired
"K1Q",Senator,South Australia,SA,1946-SEN,1946-09-28,1951-03-19,1951-SEN,Retired
"JOS",Member,Darwin,TAS,1925-HOR,1925-11-14,1943-07-07,1943-HOR,Retired
"7U4",Senator,Tasmania,TAS,1990-CASUAL4-TAS,1990-03-07,1996-06-30,1996-SEN,Defeated
"K1T",Senator,Queensland,QLD,1949-SEN,1950-07-01,1968-06-30,1967-SEN,Retired
"JOU",Member,Swan,WA,1969-HOR,1969-10-25,1975-12-13,1975-HOR,Defeated
"JOW",Member,Werriwa,NSW,1912-BY1-WERRIWA,1912-06-01,1913-04-23,1913-HOR,Retired
"JOY",Member,Gippsland,VIC,1913-HOR,1913-05-31,1914-09-05,1914-HOR,Defeated
"K1W",Senator,South Australia,SA,1919-SEN,1920-07-01,1926-01-26,1926-CASUAL1-SA,Resigned
"JP5",Member,Batman,VIC,1962-BY1-BATMAN,1962-09-01,1969-09-29,1969-HOR,Retired
"JP8",Member,Perth,WA,1969-HOR,1969-10-25,1975-12-13,1975-HOR,Defeated
"G0D",Senator,South Australia,SA,2006-CASUAL1-SA,2006-05-04,,,
"JPA",Member,Griffith,QLD,1949-HOR,1949-12-10,1954-05-29,1954-HOR,Defeated
"K1X",Senator,Tasmania,TAS,1974-SEN,1974-05-18,1975-12-13,1975-SEN,Defeated
"JPC",Member,Kooyong,VIC,1910-BY1-KOOYONG,1910-08-24,1922-12-16,1922-HOR,Defeated
"ET4",Member,Brisbane,QLD,1990-HOR,1990-03-24,2010-08-21,2010-HOR,Defeated
"HVM",Member,Dawson,QLD,2007-HOR,2007-11-24,2010-07-19,2010-HOR,Retired
"1K6",Member,Dunkley,VIC,1996-HOR,1996-03-02,,,
"RE4",Member,Kingston,SA,1983-HOR,1983-03-05,1996-03-02,1996-HOR,Defeated
"HZB",Senator,Tasmania,TAS,2007-SEN,2008-07-01,,,
"JPE",Member,Batman,VIC,1949-HOR,1949-12-10,1962-07-21,1962-BY1-BATMAN,Died
"DZP",Member,Cunningham,NSW,2004-HOR,2004-10-09,,,
"H6X",Senator,South Australia,SA,2007-CASUAL1-SA,2007-05-03,,,
"JPG",Member,Phillip,NSW,1975-HOR,1975-12-13,1983-03-05,1983-HOR,Defeated
"JPJ",Member,Port Adelaide,SA,1963-HOR,1963-11-30,1974-04-11,1974-HOR,Retired
"SE4",Member,Mackellar,NSW,1994-BY4-MACKELLAR,1994-03-26,,,
"83P",Member,Curtin,WA,1998-HOR,1998-10-03,,,
"K1Y",Senator,South Australia,SA,1961-SEN,1962-07-01,1981-06-30,1980-SEN,Retired
"2L6",Senator,Western Australia,WA,1996-SEN,1996-07-01,2014-06-30,2013-SEN,Retired
"ND4",Senator,Queensland,QLD,1981-CASUAL1-QLD,1981-03-12,1993-06-30,1993-SEN,Retired
"TE4",Senator,Queensland,QLD,1984-SEN,1984-12-01,1990-06-30,1990-SEN,Defeated
"JPL",Member,Bourke,VIC,1946-HOR,1946-09-28,1949-12-10,1949-HOR,Abolished at Redistribution (to Wills - defeated)
"JPN",Member,Bourke,VIC,1934-HOR,1934-09-15,1943-08-21,1943-HOR,Defeated
"JPP",Member,Franklin,TAS,1931-HOR,1931-12-19,1934-09-15,1934-HOR,Defeated
"JPR",Member,Riverina i,NSW,1903-HOR,1903-12-16,1904-04-13,1904-BY3-RIVERINA,Voided
"JPT",Member,Northern Territory (HoR),NT,1934-HOR-NT,1934-09-22,1949-12-10,1949-HOR,Defeated
"JPV",Member,Darling,NSW ,1917-HOR,1917-05-05,1934-09-15,1934-HOR,Defeated
"K22",Senator,Victoria,VIC,1910-SEN,1910-07-01,1917-06-30,1917-SEN,Defeated
"UE4",Member,Moore,WA,1983-HOR,1983-03-05,1990-03-24,1990-HOR,Defeated
"JQ7",Member,Warringah,NSW,1951-HOR,1951-04-28,1961-11-02,1961-HOR,Retired
"VE4",Member,Bonython,SA,1977-HOR,1977-12-10,1994-02-11,1994-BY3-BONYTHON,Resigned
"JQ9",Member,Adelaide,SA,1919-HOR,1919-12-13,1922-12-16,1922-HOR,Defeated
"WE4",Member,Richmond,NSW,1984-BY3-RICHMOND,1984-02-18,1990-03-24,1990-HOR,Defeated
"XE4",Senator,South Australia,SA,1980-SEN,1981-07-01,2005-06-30,2004-SEN,Retired
"K2C",Senator,Victoria,VIC,1917-SEN,1917-07-01,1923-06-30,1922-SEN,Defeated
"0V4",Senator,Queensland,QLD,1971-CASUAL2-QLD,1971-06-11,1983-03-05,1983-SEN,Defeated
"JQB",Member,Herbert,QLD,1966-HOR,1966-11-26,1977-11-10,1977-HOR,Retired
"JR7",Member,Barker,SA,1903-HOR,1903-12-16,1906-11-05,1906-HOR,Retired
"JR9",Member,St George,NSW,1963-HOR,1963-11-30,1969-10-25,1969-HOR,Defeated
"JRB",Member,Indi,VIC,1949-HOR,1949-12-10,1958-11-22,1958-HOR,Defeated
"YE4",Senator,Queensland,QLD,1983-SEN,1983-03-05,2014-06-30,2013-SEN,Retired
"JRD",Member,Bendigo,VIC,1972-HOR,1972-12-02,1983-03-05,1983-HOR,Defeated
"JRF",Member,Fawkner,VIC,1949-HOR,1949-12-10,1955-12-10,1955-HOR,Defeated
"TW4",Senator,New South Wales,NSW,1990-SEN,1990-07-01,2002-06-30,2001-SEN,Defeated
"JRH",Member,Parramatta,NSW,1922-HOR,1922-12-16,1929-10-12,1929-HOR,Defeated
"JRJ",Member,Gippsland,VIC,1943-HOR,1943-08-21,1961-11-02,1961-HOR,Retired
"DZS",Member,McMahon,NSW,2010-HOR,2010-08-21,,,
"ZE4",Member,Kingsford-Smith (now Kingsford Smith),NSW,1969-HOR,1969-10-25,1990-02-19,1990-HOR,Retired
"JRN",Member,Parramatta,NSW,1964-BY3-PARAMATTA,1964-06-20,1973-07-11,1973-BY1-PARRAMATTA,Resigned
"H6V",Senator,Queensland,QLD,2007-CASUAL2-QLD,2007-04-19,2014-06-30,2013-SEN,Retired
"JRP",Member,Henty,VIC,1913-HOR,1913-05-31,1919-12-13,1919-HOR,Defeated
"HVW",Member,Lindsay,NSW,2007-HOR,2007-11-24,2013-09-07,2013-HOR,Defeated
"JRR",Member,Wilmot,TAS,1903-HOR,1903-12-16,1904-02-02,1904-BY1-WILMOT,Died
"JRU",Member,Barton,NSW,1975-HOR,1975-12-13,1983-03-05,1983-HOR,Defeated
"FT4",Member,McPherson,QLD,1990-HOR,1990-03-24,1998-10-03,1998-HOR,Defeated
"0F4",Member,Dawson,QLD,1975-HOR,1975-12-13,1996-01-29,1996-HOR,Retired
"K2F",Senator,Victoria,VIC,1934-SEN,1935-07-01,1947-06-30,1946-SEN,Defeated
"JS7",Member,Wide Bay,QLD,1954-HOR,1954-05-29,1958-10-14,1958-HOR,Retired
"008W7",Senator,Queensland,QLD,2000-CASUAL1-QLD,2000-05-16,,,
"K2I",Senator,Western Australia,WA,1958-SEN,1958-11-22,1971-06-30,1970-SEN,Retired
"JS9",Member,Calare,NSW,1940-HOR,1940-09-21,1946-09-28,1946-HOR,Defeated
"K2W",Senator,Victoria,VIC,1961-SEN,1962-07-01,1968-06-30,1967-SEN,Retired
"JSC",Member,Batman,VIC,1934-HOR,1934-09-15,1949-10-31,1949-HOR,Retired
"K2Z",Senator,Victoria,VIC,1931-CASUAL2-VIC,1931-05-12,1938-06-30,1937-SEN,Defeated
"5T4",Member,Kingsford-Smith (now Kingsford Smith),NSW,1990-HOR,1990-03-24,2004-08-31,2004-HOR,Retired
"JSE",Member,Robertson,NSW,1964-BY4-ROBERTSON,1964-12-05,1969-10-25,1969-HOR,Defeated
"IYU",Member,Mayo,SA,2008-BY3-MAYO,2008-09-06,,,
"JSG",Member,Maranoa,QLD,1951-HOR,1951-04-28,1966-10-31,1966-HOR,Retired
"30379",Member,Mallee,VIC,2013-HOR,2013-09-07,,,
"MT4",Member,McMillan,VIC,2004-HOR,2004-10-09,,,
"30540",Member,Canberra,ACT,2010-HOR,2010-08-21,,,
"2K6",Member,Fisher,QLD,2013-HOR,2013-09-07,,,
"5A5",Member,Charlton,NSW,1984-HOR,1984-12-01,1998-08-31,1998-HOR,Retired
"QD4",Senator,Tasmania,TAS,1996-SEN,1996-07-01,2012-06-15,2012-CASUAL4-TAS,Resigned
"F49",Senator,Tasmania,TAS,2005-CASUAL2-TAS,2005-08-25,,,
"JSI",Member,McMillan,VIC,1949-HOR,1949-12-10,1955-10-14,1955-HOR-NOBY,Died
"K6P",Senator,Queensland,QLD,1931-SEN,1932-07-01,1965-06-30,1964-SEN,Retired
"OD4",Member,Parramatta,NSW,1977-HOR,1977-12-10,1990-02-19,1990-HOR,Retired
"JSK",Member,Indi,VIC,1906-HOR,1906-12-12,1910-04-13,1910-HOR,Defeated
"PD4",Member,Menzies,VIC,1984-HOR,1984-12-01,1991-02-25,1991-BY1-MENZIES,Resigned
"JSM",Member,Calare,NSW,1906-HOR,1906-12-12,1913-05-31,1913-HOR,Defeated
"K3A",Senator,Victoria,VIC,1970-SEN,1971-07-01,1978-06-30,1977-SEN,Defeated
"JSO",Member,Kingston,SA,1966-HOR,1966-11-26,1969-10-25,1969-HOR,Defeated
"JSQ",Member,Kalgoorlie,WA,1958-HOR,1958-11-22,1961-12-09,1961-HOR,Defeated
"RD4",Senator,New South Wales,NSW,1984-SEN,1984-12-01,2000-04-14,2000-CASUAL2-NSW,Resigned
"JSS",Member,Leichhardt,QLD,1951-HOR,1951-04-28,1958-10-11,1958-HOR-NOBY,Died
"F4B",Member,Flinders,VIC,1931-HOR,1931-12-19,1933-10-06,1933-BY1-FLINDERS,Resigned
"1F4",Member,Bendigo,VIC,1983-HOR,1983-03-05,1990-03-24,1990-HOR,Defeated
"JSU",Member,Wills,VIC,1955-HOR,1955-12-10,1980-09-19,1980-HOR,Retired
"JSW",Member,Wills,VIC,1949-HOR,1949-12-10,1955-12-10,1955-HOR,Defeated
"JSY",Member,McMillan,VIC,1955-HOR,1955-12-10,1972-12-02,1972-HOR,Defeated
"230531",Member,Wright,QLD,2010-HOR,2010-08-21,,,
"009D2",Senator,South Australia,SA,2000-CASUAL3-SA,2000-09-14,2005-06-30,2004-SEN,Retired
"K3J",Senator,New South Wales,NSW,1964-SEN,1965-07-01,1971-06-30,1970-SEN,Defeated
"243237",Senator,Western Australia,WA,2013-SEN,2014-07-01,,,
"JT9",Member,Canning,WA,1974-HOR,1974-05-18,1983-03-05,1983-HOR,Defeated
